date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:43:56	1634/1634	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2004%20May%202019%2013:43:56%20GMT	https://accounts.google.com/GET	C:/My%20Websites/IT%20assesment/accounts.google.com/GET.13.delayed	(from https://accounts.google.com/ServiceLogin?service=wise&passive=1209600&continue=https://sites.google.com/s/1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog/p/15EElhElNZa1gWolGnKOAkBEtwsLfpPCm/edit&followup=https://sites.google.com/s/1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog/p/15EElhElNZa1gWolGnKOAkBEtwsLfpPCm/edit)
23:43:56	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=AU&hl=en-GB&privacy=true	C:/My%20Websites/IT%20assesment/accounts.google.com/TOS.141f99.delayed	(from https://accounts.google.com/signin/usernamerecovery?continue=https%3A%2F%2Fsites.google.com%2Fs%2F1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog%2Fp%2F15EElhElNZa1gWolGnKOAkBEtwsLfpPCm%2Fedit&service=wise&hl=en-GB)
23:43:56	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=AU&hl=en-GB	C:/My%20Websites/IT%20assesment/accounts.google.com/TOS.159609.delayed	(from https://accounts.google.com/signin/usernamerecovery?continue=https%3A%2F%2Fsites.google.com%2Fs%2F1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog%2Fp%2F15EElhElNZa1gWolGnKOAkBEtwsLfpPCm%2Fedit&service=wise&hl=en-GB)
23:43:56	518/518	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2004%20May%202019%2013:43:56%20GMT	https://accounts.google.com/AccountChooser?continue=https%3A%2F%2Fsites.google.com%2Fs%2F1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog%2Fp%2F15EElhElNZa1gWolGnKOAkBEtwsLfpPCm%2Fedit&followup=https%3A%2F%2Fsites.google.com%2Fs%2F1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog%2Fp%2F15EElhElNZa1gWolGnKOAkBEtwsLfpPCm%2Fedit&service=wise&rip=1	C:/My%20Websites/IT%20assesment/accounts.google.com/AccountChooser.1605da.delayed	(from https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fsites.google.com%2Fs%2F1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog%2Fp%2F15EElhElNZa1gWolGnKOAkBEtwsLfpPCm%2Fedit&followup=https%3A%2F%2Fsites.google.com%2Fs%2F1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog%2Fp%2F15EElhElNZa1gWolGnKOAkBEtwsLfpPCm%2Fedit&service=wise&sacu=1&rip=1)
23:43:56	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=AU&hl=en-GB&privacy=true	C:/My%20Websites/IT%20assesment/accounts.google.com/TOS.171f99.delayed	(from https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fsites.google.com%2Fs%2F1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog%2Fp%2F15EElhElNZa1gWolGnKOAkBEtwsLfpPCm%2Fedit&followup=https%3A%2F%2Fsites.google.com%2Fs%2F1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog%2Fp%2F15EElhElNZa1gWolGnKOAkBEtwsLfpPCm%2Fedit&service=wise&sacu=1&rip=1)
23:43:56	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=AU&hl=en-GB	C:/My%20Websites/IT%20assesment/accounts.google.com/TOS.189609.delayed	(from https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fsites.google.com%2Fs%2F1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog%2Fp%2F15EElhElNZa1gWolGnKOAkBEtwsLfpPCm%2Fedit&followup=https%3A%2F%2Fsites.google.com%2Fs%2F1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog%2Fp%2F15EElhElNZa1gWolGnKOAkBEtwsLfpPCm%2Fedit&service=wise&sacu=1&rip=1)
23:43:57	352701/352701	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20May%202019%2013:43:57%20GMT	https://accounts.google.com/SignUp?hl=en-GB	C:/My%20Websites/IT%20assesment/accounts.google.com/SignUp3e1d.html	(from https://accounts.google.com/SignUp?service=wise&continue=https%3A%2F%2Fsites.google.com%2Fs%2F1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog%2Fp%2F15EElhElNZa1gWolGnKOAkBEtwsLfpPCm%2Fedit)
23:43:57	291/291	---M--	200	added ('OK')	image/png	date:Thu,%2021%20Apr%202016%2003:17:22%20GMT	https://ssl.gstatic.com/ui/v1/dialog/close-x.png	C:/My%20Websites/IT%20assesment/ssl.gstatic.com/ui/v1/dialog/close-x.png	(from https://accounts.google.com/SignUp?service=wise&continue=https%3A%2F%2Fsites.google.com%2Fs%2F1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog%2Fp%2F15EElhElNZa1gWolGnKOAkBEtwsLfpPCm%2Fedit)
23:43:58	29532/29532	---M--	200	added ('OK')	image/png	date:Thu,%2021%20Apr%202016%2003:17:22%20GMT	https://ssl.gstatic.com/i18n/phonenumbers/phoneinputwidget/flags4.png	C:/My%20Websites/IT%20assesment/ssl.gstatic.com/i18n/phonenumbers/phoneinputwidget/flags4.png	(from https://accounts.google.com/SignUp?service=wise&continue=https%3A%2F%2Fsites.google.com%2Fs%2F1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog%2Fp%2F15EElhElNZa1gWolGnKOAkBEtwsLfpPCm%2Fedit)
23:43:58	115/115	---M--	200	added ('OK')	image/png	date:Thu,%2021%20Apr%202016%2003:17:22%20GMT	https://ssl.gstatic.com/ui/v1/disclosure/grey-disclosure-arrow-up-down.png	C:/My%20Websites/IT%20assesment/ssl.gstatic.com/ui/v1/disclosure/grey-disclosure-arrow-up-down.png	(from https://accounts.google.com/SignUp?service=wise&continue=https%3A%2F%2Fsites.google.com%2Fs%2F1SMD-juIy0fjpsQH6gpDHMi8fr9L19Wog%2Fp%2F15EElhElNZa1gWolGnKOAkBEtwsLfpPCm%2Fedit)
